best_x,best_y,hmax,maxeval,neval
[1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0],0.39999999999999947,0.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1],0.7000000000000002,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0],0.40000000000000036,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0],0.7000000000000002,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0],0.2999999999999998,0.0,1000.0,inf
[1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0],0.6000000000000005,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0],0.6000000000000005,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1],0.5,0.0,1000.0,inf
[0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0],0.5,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1],0.7000000000000002,0.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1],0.6000000000000005,0.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1],0.6000000000000005,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.0,0.0,1000.0,120.0
